image_path,leaf_label,N,P,K,temperature,humidity,ph,rainfall,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency,NDVI_Mean,NDVI_Std,NDRE_Mean,NDRE_Std,crop_health
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0011.jpg,Healthy,117,25,54,28.68275966,92.50969311,6.150686364,29.11187663,15.361999194858749,1,8.159323380818503,8.644988194826361,373.30580541351753,3.876341580506856,1,7.263364751911627,5.851772047107251,144.8429930713454,2,1.9631792354564137,3,19.68073993332523,4.040309246362766,0.1649147999197402,0.1712233769522657,0.0073862524550418,0.1549899526629197,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Castor\Healthy_castor\Mamona uma planta vistosa mas perigosa.jpg,Healthy,37,70,25,19.73136909,24.89487354,5.819403771,84.06354115,11.653781873535564,3,5.739923237503676,0.6941571304388505,381.7360655651895,5.982346450055076,1,19.18676189867034,22.343136772083383,126.76347682996813,1,31.92598214116192,1,28.616658063607737,1.6314936158736382,0.1454227494311894,0.2791234531723869,0.027560993805829,0.2291233030580269,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Cumin\Healthy_Cumin\cumin_he1.jpeg,Healthy,29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,29.16974292178352,2,6.9757150372072125,6.323442573401032,392.053457650311,3.651611546213713,5,11.292955818708386,6.343705855618975,53.50160477378381,2,10.945680895513998,2,88.44335936984376,2.358239129325595,0.3259217123732905,0.2305220530920034,0.1815518611614839,0.2255395128747177,Healthy
"D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Guava\Healthy_Guava\Guava Leaves Uncovered_ Powerful Benefits, Uses,___.jpg",Healthy,84,25,52,24.37190239,81.2514818,6.12532356,44.20899581,22.47252299621921,3,6.755166592863305,5.956562847637288,419.2256190345847,3.503217213705943,5,5.688996591851321,51.64439112731623,135.9048160568414,1,28.493075299237635,1,47.73851841020611,2.987962756334236,0.3023325399209414,0.2444755220740902,0.1368173942667024,0.2333491151251259,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Papaya\Healthy_papaya\Probably the most colourful Papaya Tree ever_.jpg,Healthy,93,43,38,23.61475336,86.14290267,6.987332927,150.2355238,11.720043870140849,3,8.515349483132098,10.245721875957983,445.71728785225775,9.036817289710042,4,17.350657159236547,35.75693194773114,158.38056632585693,3,38.75843154768874,2,6.981094761541485,3.373874541095973,0.0495070425231881,0.1976372496814825,-0.0376271156063185,0.1547027575768042,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Cumin\Healthy_Cumin\cumin_2.png,Healthy,32,55,51,29.60718808,93.15642801,6.57398033,62.68710535,12.691603799052496,2,9.53448807748208,6.994659512948386,446.6578846141623,2.124489139822238,6,15.985269952696695,4.854128851179185,134.14889439761612,1,29.301132801214635,3,48.220711649934834,4.01847793069694,0.2305391693870946,0.2634813252975512,0.1192872328038457,0.2342047376460404,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Castor\Healthy_castor\download (5).jpg,Healthy,15,54,15,29.97604322,57.03184356,8.35495812,44.86052932,17.703594353008477,3,6.443115865208169,0.8687224153222006,423.1969075462426,6.2513514609607554,5,6.707538382234297,91.08972100916836,69.92985117485986,3,29.583167016363728,3,0.1060403376656915,1.4392762964837358,0.1748292157307427,0.2180924153472521,0.0621720804300831,0.1939771046683829,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Cumin\Healthy_Cumin\Cumin seed production (2024-25)-SDAU-Jagudan (GUJ) (4).jpg,Healthy,17,67,18,31.2192752,56.46868874,5.611510977,129.2028653,28.584563960000423,1,10.665537972205671,7.90816136550053,449.9733068383365,7.890303208779609,6,11.063283449677373,88.478642925792,158.88715414329522,3,27.7935243892657,2,18.57431828246456,1.960637218841588,0.2125678694290099,0.2793464098580453,0.0476808168818649,0.242436582702494,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Guava\Healthy_Guava\IMG_4850(1).jpg,Healthy,2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,25.686458540505363,2,8.538126184601378,8.39717821832998,447.509991553162,1.944278144817092,4,6.381454922352157,30.558984450101946,55.49886082300576,2,1.9501967408222245,1,51.95037583821941,3.1687195174705014,0.2704736251939677,0.2493630118727416,0.1316149149195679,0.2329566673373792,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Guava\Healthy_Guava\WhatsApp Image 2026-03-31 at 11.17.19 AM.jpeg,Healthy,39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,10.333280500159196,3,9.041096449529492,18.26306122279912,386.1343574840493,9.379368392579806,3,17.48414845121379,38.18364849343664,144.33491944585325,2,41.70058183062172,3,81.63991031531191,3.851439578709019,0.1734604818559174,0.2561292909081141,0.1269561198731732,0.2091489759723276,Healthy
