image_path,original_label,crop_health,crop,source_split
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001ba_jpg.rf.c94fc499387029a47a1cc0ce1546f40d.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001ba_jpg.rf.c94fc499387029a47a1cc0ce1546f40d_dup125.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001ba_jpg.rf.c94fc499387029a47a1cc0ce1546f40d_dup369.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001ba_jpg.rf.c94fc499387029a47a1cc0ce1546f40d_dup395.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.0b6793f7467cf3ac1ced4b2b4d1a82a1.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.0b6793f7467cf3ac1ced4b2b4d1a82a1_dup291.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.0b6793f7467cf3ac1ced4b2b4d1a82a1_dup685.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.576ff56b1bfd56a254477d62ec2ca6a5.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.576ff56b1bfd56a254477d62ec2ca6a5_dup20.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.576ff56b1bfd56a254477d62ec2ca6a5_dup428.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.576ff56b1bfd56a254477d62ec2ca6a5_dup482.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.946340889fa19df4faed5444f80fe739.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0001sa_jpg.rf.946340889fa19df4faed5444f80fe739_dup270.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0002ba_jpg.rf.4a683fed895f5b35d28195afebbf49f8.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0002ba_jpg.rf.4a683fed895f5b35d28195afebbf49f8_dup298.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0002ba_jpg.rf.4a683fed895f5b35d28195afebbf49f8_dup599.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0002ba_jpg.rf.5207970d82c4f4f0aa17c4058406d9e4.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0002ba_jpg.rf.5207970d82c4f4f0aa17c4058406d9e4_dup101.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0002ba_jpg.rf.69a765ad4357da342d153e2c9d8f7780.jpg,algal_leaf_spot,Moderate_Risk,guava,train
D:\Download1\archive (5)\CNN256\CNN256\train\algal_leaf_spot\algal_leaf_spot0002ba_jpg.rf.69a765ad4357da342d153e2c9d8f7780_dup638.jpg,algal_leaf_spot,Moderate_Risk,guava,train
