image_path,original_label,crop_health,crop
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063438.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063444.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063447.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063449.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063456.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063507.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063514.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063522.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063528.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063534.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063539.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063541.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063656.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063709.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063711.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063713.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063717.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063721.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063725.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063729.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063733.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063737.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063738.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063752.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063757.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063802.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063809.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063813.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063824.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063828.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063832.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063834.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063838.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063844.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_063955.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064001.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064003.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064009.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064013.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064018.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064024.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064029.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064033.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064038.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064041.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064044.jpg,Healthy corn,Healthy,maize
