image_path,leaf_label,N,P,K,temperature,humidity,ph,rainfall,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency,NDVI_Mean,NDVI_Std,NDRE_Mean,NDRE_Std,crop_health
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\Brinjal flower.jpg,Healthy,32,78,22,23.97081395,62.35557553,7.007037515,53.40906048,22.618112514277907,1,9.304473950112495,13.06476411981668,398.43322172548886,2.886499308278208,1,8.339240910824124,38.70730457812781,91.361134262089,3,18.32270354268609,1,36.936743581037234,1.182907505315807,0.2494944491031584,0.2472753539679069,0.0887038256173828,0.2331922771358601,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\Brinjal Plant !!!.jpg,Healthy,11,124,204,13.42988625,80.06633966,6.361141107,71.40043037,13.617083412408157,3,9.313099372779435,8.312904500697812,366.80669690745,9.218050237827851,6,5.78881231493316,3.259690907889623,107.027406624033,2,26.966940784868417,3,74.15920454286797,2.9874734314720066,0.1156567940639901,0.2056236129515778,0.0556674268444078,0.1825078192829755,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\download (11).jpg,Healthy,11,36,31,27.92063282,51.77965917,6.47544932,100.2585673,12.462926012823116,2,6.658189512274884,17.56580147150928,358.47897699870185,7.029844640440521,6,8.366348050685712,85.70078117389967,73.28630513993075,1,25.616852287575348,1,98.8771974052362,2.767887042693355,0.2681071271830937,0.2498300159000555,0.1257797620439329,0.2371310480228829,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0004.jpg,Healthy,108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,20.64717442786585,3,7.020558825761817,16.95137583935374,357.4229701866576,8.955251938936522,1,13.301019792094548,78.83700795458655,135.84359887193932,2,42.027669326339925,3,65.27968116971184,2.3332934790040865,0.2587702011005153,0.2462995326646494,0.0950281639118361,0.2354249306057356,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0005.jpg,Healthy,10,5,5,21.21306973,91.35349216,7.817846496,112.9834361,29.417382729870795,2,8.858378115096784,11.423919834585725,418.10824529855466,8.876126817210217,5,14.951419950917282,66.84309430569877,147.03936237480713,1,13.968036875310307,1,12.857864249253137,2.257118014353904,0.3387237250640951,0.2395379315006084,0.1833302031987643,0.2306836281692489,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0006.jpg,Healthy,111,28,26,27.77363343,64.47858698,6.937352845,192.7121236,10.701686070933352,1,7.780727629804778,15.228052697719969,354.518088205616,2.766148119518961,4,11.985369986207589,32.284062561735524,64.62505399434005,2,13.439963235932211,1,4.5597034587093415,3.667517259737037,0.0766061996929917,0.2023292184492215,0.0031377798630309,0.1617083262720572,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0007.jpg,Healthy,29,78,25,19.95991719,59.33157782,5.982854523,195.787103,29.57944517574392,2,11.51368180516924,19.164810724013684,360.36853014280257,5.197559446172972,2,8.641981225225265,45.60880989017204,189.57989571154047,2,17.280263379839646,1,51.97521725244837,2.4190333319256627,0.2494944491031584,0.2472753539679069,0.0887038256173828,0.2331922771358601,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0008.jpg,Healthy,14,131,198,33.4641162,83.86742974,5.562790949,67.92204319,22.70373097856308,2,11.277909607976037,2.4007763796901798,377.1429785845643,9.446816909302862,1,12.13034679726718,49.4791239109173,189.4695040897273,3,0.6069531234466463,3,83.68687215004906,4.266625817700119,0.2704736251939677,0.2493630118727416,0.1316149149195679,0.2329566673373792,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0010.jpg,Healthy,17,77,23,24.51324787,20.81527638,5.670062975,64.19497947,29.59891522667612,3,6.881596136998308,5.829400501126997,396.7110919595346,4.747525614127909,4,8.556008376552274,3.3658861848583688,183.56553503648823,1,25.52351568110463,2,55.23343305698195,3.971081543496998,0.2557328745175416,0.2640159299519048,0.1297730635455898,0.2362678608317673,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0011.jpg,Healthy,117,25,54,28.68275966,92.50969311,6.150686364,29.11187663,15.361999194858749,1,8.159323380818503,8.644988194826361,373.30580541351753,3.876341580506856,1,7.263364751911627,5.851772047107251,144.8429930713454,2,1.9631792354564137,3,19.68073993332523,4.040309246362766,0.1649147999197402,0.1712233769522657,0.0073862524550418,0.1549899526629197,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0014.jpg,Healthy,88,35,35,27.55906475,58.45742907,6.784460602,117.9389993,23.33584732483188,1,11.370563794545754,6.908108887612245,390.0262964148799,4.262605739254374,6,5.304437832189704,44.01276031533013,82.73182407679495,1,46.11475082967226,3,32.82728208766051,2.9921160009964383,0.1501879768939351,0.1880062967533963,0.0411624714371798,0.1630920143884414,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0016.jpg,Healthy,87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,12.024365136909855,2,7.025473918542891,9.636454275820574,437.6674881049109,9.09043841303276,1,5.136479448650119,1.4722843513942374,138.7770689068788,2,8.463016371367049,3,76.41745343467062,3.8996705146629873,0.2963066657866235,0.2415583300002743,0.185033926444594,0.2226061559692754,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0017.jpg,Healthy,18,23,8,21.49118657,93.43949693,6.41354791,101.4819888,25.316237537597253,3,11.179797230921327,19.133791324607024,446.61504908231177,6.433390896154507,6,8.654212700613044,13.416580343785734,117.6780472521611,3,2.6096072744295764,1,45.81780590631021,1.2630426338034582,0.1454227494311894,0.2791234531723869,0.027560993805829,0.2291233030580269,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0020.jpg,Healthy,42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,11.114582318756035,2,5.837217962483831,11.389073514300998,395.2662198464169,4.670532084776915,4,14.067756854706236,17.707709113916504,53.69999432609255,2,23.43365999859892,1,96.75594181928476,4.412940503819076,0.2510437944074032,0.2396628380683336,0.1009937459209953,0.2252502164866279,Healthy
D:\Download1\Multi_Crop_Leaves_Disease\Multi_Crop_Leaves_Disease\Brinjal\Healthy_brinjal\IMG-20260325-WA0022.jpg,Healthy,30,143,199,23.76881552,90.59810302,5.7983508,102.2648546,12.078995269273094,3,5.36518580284117,14.45362947753797,374.4447056460166,1.286929694763968,6,19.747971755547184,69.81154264110334,164.8600279221189,3,14.03033476838912,3,46.7770812954997,4.478685780045687,0.229544050912481,0.2405137897899892,0.1440477038058586,0.2058136743823639,Healthy
