image_path,crop_health
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100023.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100049.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100126.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100133.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100148.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100162.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100169.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100234.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100248.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100268.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100289.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100330.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100365.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100382.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100445.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100447.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100513.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100516.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100523.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100541.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100542.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100548.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100582.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100622.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100623.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100632.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100635.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100649.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100653.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100681.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100709.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100733.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100760.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100795.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100883.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100925.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100956.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100967.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100982.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\100998.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101004.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101013.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101169.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101173.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101176.jpg,bacterial_leaf_blight
