,NDVI_Mean,NDVI_Std,NDVI_Min,NDVI_Max,NDVI_Median,NDVI_P25,NDVI_P75,NDRE_Mean,NDRE_Std,NDRE_Min,NDRE_Max,NDRE_Median,NDRE_P25,NDRE_P75,GNDVI_Mean,GNDVI_Std,GNDVI_Min,GNDVI_Max,GNDVI_Median,GNDVI_P25,GNDVI_P75,SAVI_Mean,SAVI_Std,SAVI_Min,SAVI_Max,SAVI_Median,SAVI_P25,SAVI_P75,MSAVI_Mean,MSAVI_Std,MSAVI_Min,MSAVI_Max,MSAVI_Median,MSAVI_P25,MSAVI_P75,OSAVI_Mean,OSAVI_Std,OSAVI_Min,OSAVI_Max,OSAVI_Median,OSAVI_P25,OSAVI_P75,CIGREEN_Mean,CIGREEN_Std,CIGREEN_Min,CIGREEN_Max,CIGREEN_Median,CIGREEN_P25,CIGREEN_P75,CIREDGE_Mean,CIREDGE_Std,CIREDGE_Min,CIREDGE_Max,CIREDGE_Median,CIREDGE_P25,CIREDGE_P75,Vegetation_Coverage,Healthy_Percentage,Stress_Percentage,Brightness,Contrast,Blur_Score,Canopy_Density,Disease_Hotspot
NDVI_Mean,1.0,0.28098685063390716,-0.015733810422927118,0.8612106695331269,0.9949768112202519,0.9462178514407424,0.9590998676413618,-0.15220413422410814,-0.20269138590215383,-0.06669956334484083,0.17486148037667223,-0.13272122907438152,-0.16506735737334288,-0.12671427902704707,0.4588951004672999,-0.2338925161640699,-0.15096354020023167,0.4768658939280781,0.4384311236661069,0.4174097603303276,0.41442957857969437,0.9999999999970254,0.2809810410131561,-0.015733680973104507,0.8612107899257986,0.9949768906556741,0.9462179010644517,0.9590995391044652,0.9886848647782717,-0.3944999148971624,-0.04807356724712884,0.8612882301237409,0.991988886709423,0.947279281164796,0.9652046070382643,0.9999999999996916,0.2809849486288511,-0.01573378558922682,0.8612106803789594,0.9949768432643146,0.946217873661968,0.9590997611791442,0.42644443994473846,0.06391005980914287,-0.14416013513379689,0.4789304799921543,0.439353708512211,0.41819466668270505,0.4205667648734658,-0.1456356701016988,-0.22598881783638208,-0.05780077861407522,0.18035303239655512,-0.09966056914486224,-0.12935017065158094,-0.09520101931242493,0.8684532335344988,0.6562801511333354,-0.9370041638347916,-0.6637708758265106,0.14873641410856897,-0.4536516899977338,0.7738853578107262,0.1134539342432333
NDVI_Std,0.28098685063390716,1.0,-0.07394339894031265,0.4220839644750565,0.2843871285156865,-0.004250619193716081,0.5197817942856411,0.09417258688155514,0.6802535587440652,-0.0544812038434262,0.09075007875730859,0.0797820428824214,-0.17458794864449056,0.30332176299598246,-0.12098962301729795,0.6402477138375603,-0.03878338678727326,0.3062863867036458,-0.14916036404423313,-0.36274155727704677,0.18867887959405216,0.2809870071687123,0.9999999999521946,-0.07394300970383963,0.42208236825309076,0.2843871253496393,-0.004250222708172471,0.5197821940013991,0.17276179218942123,0.6155433739507039,-0.020619810768925273,0.41115801990795947,0.27228218897120166,0.01977493854384838,0.48827813091098865,0.2809869053091765,0.9999999999949598,-0.0739432671661708,0.42208343167300777,0.2843870469212639,-0.004250470382768701,0.519781903896235,0.04112590113962551,0.5843637725919432,-0.04479848093015359,0.28338965286815987,-0.161558641212009,-0.3673921900537418,0.18830030748258403,0.18159905890052713,0.6094311748931452,-0.06102392026194057,0.05255763589634132,0.07733293381311192,-0.1602728047742093,0.29825998630773143,0.6315671897047958,0.6585964669491208,-0.5073214885817255,-0.04338243502570948,0.46635347831933033,0.08809352148822361,0.6682974303543088,-0.35780531707649027
NDVI_Min,-0.015733810422927118,-0.07394339894031265,1.0,-0.027521570891326796,-0.03659319019011977,-0.02715229305861074,-0.0219257561299246,0.48447345593030594,-0.11587392538014929,0.5553532120865535,-0.31340366492732863,0.4914664622162756,0.4972951508292175,0.4315802853628647,-0.15273562629162651,-0.1635782992833422,0.628220011190019,-0.4702579402451185,-0.1511928966700684,-0.09132178892584955,-0.20163059371919384,-0.01573261025034402,-0.07393866916324678,0.9999999999493219,-0.027523552321574142,-0.03659208565566387,-0.027152524958443763,-0.021923439187937842,0.02609487769548016,-0.24807373180782225,0.9766738423696542,-0.024822491261697038,-0.012861522352433789,0.0005456821642506905,-0.0036729858046273115,-0.015733430455469006,-0.07394188027026745,0.999999999993872,-0.027522290542363097,-0.03659279168673279,-0.027152341378235717,-0.021924881713870338,-0.218888348611602,-0.27385711841983085,0.6258753708775865,-0.47009114297708393,-0.16430732545193802,-0.11474499254213265,-0.21086309114576895,0.4205127852265231,0.08262556605209875,0.5427871439819709,-0.32034891562145384,0.4538142072053968,0.45935989682544487,0.3986003230760387,-0.03643070953998827,-0.14418888769470445,0.06457209884443384,0.43904105469652754,0.03904738913289317,0.4031451302886272,-0.0780723526808654,-0.27116976536544196
NDVI_Max,0.8612106695331269,0.4220839644750565,-0.027521570891326796,1.0,0.8495539951655052,0.7653256047478685,0.8658756393278387,-0.06364123655626869,-0.11639738426602986,-0.09217105267037169,0.22644586581560028,-0.04669490941058801,-0.09997177553790118,-0.028379280888829683,0.3528025367331391,-0.13044242130348221,-0.15306513035483044,0.527119748528667,0.33156502185094894,0.29529431352666374,0.3456054556142711,0.8612108558310037,0.4220793361962608,-0.02752114087383307,0.999999999890843,0.8495543653177219,0.7653258264502988,0.8658757008886477,0.8442781008985175,-0.21878611482920132,-0.055484686509578524,0.9988128106544014,0.8585175745962345,0.7829618586973549,0.8760924746786117,0.8612107317129346,0.4220824567792159,-0.027521470019236983,0.9999999999872353,0.8495541090623255,0.765325693621084,0.8658756690489361,0.3406876426483541,0.11795701842925882,-0.1472526141174388,0.5207012817717529,0.32672353637744855,0.29142112304633894,0.34757876231267687,-0.050725715291688525,-0.09763461401078789,-0.08551294403200606,0.22222301499817643,-0.020458819409874776,-0.07163231354732773,-0.001088779406745889,0.7879102325986685,0.6431070781921782,-0.8208510975668265,-0.5295216393463698,0.231019000309722,-0.3608981301062792,0.7303399995898208,0.023221224387035923
NDVI_Median,0.9949768112202519,0.2843871285156865,-0.03659319019011977,0.8495539951655052,1.0,0.9438233193248995,0.9552576688895394,-0.1830806102735976,-0.20449570165556483,-0.08467383995228843,0.17299905394699874,-0.16660708502667743,-0.1971192875764731,-0.1540031683941573,0.45198692347800323,-0.22846415948043075,-0.16919255166321684,0.4824723152484763,0.43227248945071506,0.4086551478151643,0.4111187322370681,0.9949767407711054,0.2843811765179863,-0.036592970870104116,0.8495543004789249,0.99999999999384,0.9438233702286504,0.9552572928455461,0.9804294846755671,-0.36630056586290954,-0.06973283688148502,0.8491424729494472,0.9942663765300768,0.9444413245489235,0.9585155212780425,0.9949767890991269,0.284385181117165,-0.03659313360662369,0.8495540720191179,0.9999999999990984,0.9438233394842361,0.9552575489903864,0.42221088032752113,0.07013697545558628,-0.16205428362387808,0.48757886129061745,0.433303750614371,0.4100658416672063,0.4179854741633734,-0.17651504897988748,-0.24129669035505796,-0.07559864606306727,0.1796177101843604,-0.1336447178539143,-0.160574132522015,-0.12335062367026248,0.8681136325610724,0.6663921150056986,-0.9354307903313069,-0.6690521330732012,0.17198852476882368,-0.4635333394626423,0.776860295582383,0.14061660983791288
NDVI_P25,0.9462178514407424,-0.004250619193716081,-0.02715229305861074,0.7653256047478685,0.9438233193248995,1.0,0.8186919213691234,-0.25140027779828383,-0.4219888342921594,-0.08840533098710524,0.13602256132122925,-0.22775151478063071,-0.1647750753188,-0.2946370280370861,0.5467649011988492,-0.39728349530761575,-0.1840273410521684,0.44947018257033355,0.5371665361225082,0.5717248673076843,0.409839793079971,0.9462176512316985,-0.00425718664934043,-0.02715159501115986,0.7653260437975824,0.9438232808161694,0.9999999999966146,0.8186911482086172,0.9642701370511497,-0.5154764690925919,-0.07539532221597645,0.7693292516288388,0.946534143798651,0.9942966913288922,0.8374298858241683,0.9462177865280113,-0.004252762118019006,-0.02715206761105133,0.765325715562726,0.9438233312515403,0.9999999999995685,0.8186916682790643,0.47632836068142276,-0.0400214208353387,-0.1749986647709547,0.46020741338260746,0.5404138101474872,0.5724154085697313,0.4169089390306645,-0.26575014061593427,-0.44541037585408,-0.07649205704386859,0.15841500288296398,-0.18684699764786294,-0.12744185785106996,-0.2558068516227068,0.6851332053297648,0.5105977734919952,-0.7963740237308158,-0.7340610651721611,0.1041502888189866,-0.5707407057761832,0.5945090247670346,0.27699305875161223
NDVI_P75,0.9590998676413618,0.5197817942856411,-0.0219257561299246,0.8658756393278387,0.9552576688895394,0.8186919213691234,1.0,-0.07668331303249312,0.009941129716898194,-0.05335612717730384,0.18289998972866653,-0.06344920912125926,-0.17509536141932333,0.009057858581843263,0.35272265584113904,-0.05493433698911526,-0.11669255961747171,0.475978347953746,0.32420697167193296,0.2503106711344107,0.3994963778111523,0.9590999911988649,0.5197770140529974,-0.021925912786506536,0.8658754436010024,0.9552578100404235,0.8186920148536369,0.9999999999847531,0.9202910895982129,-0.2170678138990158,-0.036268724619637524,0.8624843053204212,0.9477132519486524,0.8256974282995693,0.9946786697715934,0.959099908476305,0.5197802249912389,-0.02192582919657545,0.8658755531380777,0.9552577024005549,0.8186919628311082,0.999999999997682,0.36150588663682914,0.1743200854124935,-0.11237707044579978,0.47210108725036637,0.32285661500589957,0.25133455430729906,0.4045369569976442,-0.05126148211479745,-0.021676599611481013,-0.04798144918807197,0.17419958626616347,-0.03966344891087599,-0.14345620238225681,0.03150560168066952,0.9516182731324282,0.7391644194873901,-0.9774414553430978,-0.558848936598109,0.20643387087761778,-0.33242182360827044,0.8650135575320426,-0.020811411023030937
NDRE_Mean,-0.15220413422410814,0.09417258688155514,0.48447345593030594,-0.06364123655626869,-0.1830806102735976,-0.25140027779828383,-0.07668331303249312,1.0,0.06051116480950377,0.7463284912765764,0.20231852626467292,0.997328542083004,0.9359078792984896,0.9595698439282014,-0.22322918760490404,-0.026310372164574804,0.46544731320146054,-0.32853381405606547,-0.23695839750821204,-0.21536022309905298,-0.20207475575454023,-0.15220248596226313,0.09417957256258247,0.48447135342364306,-0.06364279197969133,-0.18307905691852633,-0.25140030700530597,-0.076680210680464,-0.13309084501730015,-0.13694718952234103,0.5230656149047397,-0.06423349751328554,-0.16698011179412034,-0.22437505643599118,-0.07418928902170738,-0.15220360491665108,0.09417482613252907,0.4844727372701495,-0.06364175629939874,-0.1830800619791049,-0.251400269555784,-0.0766822137859206,-0.2641018104915753,-0.19499164100114694,0.4566706047621624,-0.35968243095783287,-0.25255536914394056,-0.2378909699729625,-0.2192755533417226,0.9809599495077272,0.5408963719324008,0.7418595888345114,0.18446875226076925,0.9828003776699771,0.9198424224500207,0.9573621596838874,-0.0411537352578529,-0.13032986554289805,0.10840130034196939,0.6178635431287237,-0.04201137927827266,0.5744078414801231,-0.05675179078736532,-0.8498725795932472
NDRE_Std,-0.20269138590215383,0.6802535587440652,-0.11587392538014929,-0.11639738426602986,-0.20449570165556483,-0.4219888342921594,0.009941129716898194,0.06051116480950377,1.0,-0.17509413060913098,0.11601185389986475,0.03111878717810911,-0.2558583643140892,0.30831452657767455,-0.2585631486059879,0.9238766304477459,-0.06148469844302633,0.09828342011537151,-0.2644721180664736,-0.5354563701724994,0.13513423070842198,-0.20269141989961434,0.6802558491715135,-0.11587392910022681,-0.11639749723704042,-0.2044964506968495,-0.42198862455273106,0.009940890739217936,-0.2984248690489498,0.6100613281266546,-0.05319801746919404,-0.12467857461626122,-0.23446515929836764,-0.42039804514127416,-0.03338315999097021,-0.20269139166870057,0.6802543148628359,-0.11587393873609134,-0.11639740489370483,-0.20449607455619265,-0.4219887710842277,0.00994092445553514,-0.037116008019285315,0.7227119543561338,-0.07115159606835174,0.07015569874435143,-0.27651863386262476,-0.5355281187770344,0.13317407218806893,0.1658089379512528,0.8346191998122516,-0.1870627141089047,0.05578749026620389,0.002830166672452418,-0.26025472826634394,0.2715098986210132,0.1981304456838608,0.29876139300533733,-0.06502652226924915,0.1648076459998604,0.08702004044202247,0.32904037116987034,0.2662622336150576,-0.37364634930541457
NDRE_Min,-0.06669956334484083,-0.0544812038434262,0.5553532120865535,-0.09217105267037169,-0.08467383995228843,-0.08840533098710524,-0.05335612717730384,0.7463284912765764,-0.17509413060913098,1.0,-0.09310199454049285,0.7464408422707033,0.7568015843145252,0.6721631809409266,-0.13382262009901474,-0.18922461506318913,0.561223561871399,-0.4071039876534715,-0.1376929370366834,-0.08747317821046002,-0.17422503086124205,-0.06669833529529026,-0.054476462369384776,0.5553517745668385,-0.09217269068027983,-0.08467248466249702,-0.08840541005032482,-0.0533536083820251,-0.030489396939356345,-0.2056538844062141,0.5708844975928351,-0.08973534521629381,-0.06339948530034085,-0.06204563545922531,-0.04012858741982867,-0.06669917025018728,-0.054479690728860296,0.5553527358022938,-0.09217163135277798,-0.0846733632737262,-0.08840531608018613,-0.05335520492782022,-0.20084586606911947,-0.28681464796442635,0.5579309068323903,-0.4061984999781329,-0.14682936301602334,-0.10699495537738091,-0.180135476758952,0.7159155608588341,0.19852941287246367,0.9982453719324037,-0.07762128522345985,0.7544147748729536,0.7629788481560595,0.6856653071317986,-0.06366930103502662,-0.14881007143162034,0.09733024035599984,0.45547549587551883,-0.011015101668652685,0.36578568854137,-0.09314938905232877,-0.5889901906805186
