Feature,Minimum,Maximum
Capture,IMG_0000,IMG_0359
NDVI_Mean,-0.1617611050605774,0.2894235849380493
NDVI_Std,0.1239696815609932,0.26922762393951416
NDVI_Min,-0.8179800510406494,-0.5362147092819214
NDVI_Max,0.5859910249710083,0.8573702573776245
NDVI_Median,-0.1873350888490677,0.30874139070510864
NDVI_P25,-0.2743598222732544,0.1273835152387619
NDVI_P75,-0.07320099323987961,0.4557291567325592
NDRE_Mean,-0.2261407971382141,0.29364749789237976
NDRE_Std,0.108293317258358,0.23979078233242035
NDRE_Min,-0.8217073678970337,-0.4641450047492981
NDRE_Max,0.5441420078277588,0.7976294755935669
NDRE_Median,-0.22326064109802246,0.30837005376815796
NDRE_P25,-0.34693169593811035,0.22709320485591888
NDRE_P75,-0.13155291974544525,0.3770270347595215
GNDVI_Mean,-0.044522713869810104,0.2089669555425644
GNDVI_Std,0.11094927042722702,0.27913886308670044
GNDVI_Min,-0.8179800510406494,-0.5027667880058289
GNDVI_Max,0.5882231593132019,0.8095448613166809
GNDVI_Median,-0.048851173371076584,0.2097334861755371
GNDVI_P25,-0.15877878665924072,0.11812999844551086
GNDVI_P75,0.06576728820800781,0.3074963390827179
SAVI_Mean,-0.24263928830623627,0.4341294467449188
SAVI_Std,0.18595165014266968,0.40383651852607727
SAVI_Min,-1.2269614934921265,-0.8043171167373657
SAVI_Max,0.8789811134338379,1.28604257106781
SAVI_Median,-0.28099989891052246,0.46310514211654663
SAVI_P25,-0.41153544187545776,0.19107194244861603
SAVI_P75,-0.10980042815208435,0.683584451675415
MSAVI_Mean,-0.47407659888267517,0.40072113275527954
MSAVI_Std,0.2267615646123886,0.6670985221862793
MSAVI_Min,-8.98095703125,-2.3125
MSAVI_Max,0.73828125,0.92578125
MSAVI_Median,-0.4609375,0.4716796875
MSAVI_P25,-0.755859375,0.2265625
MSAVI_P75,-0.158203125,0.625
OSAVI_Mean,-0.18764227628707886,0.3357298672199249
OSAVI_Std,0.143804132938385,0.3123027980327606
OSAVI_Min,-0.9488547444343567,-0.6220078468322754
OSAVI_Max,0.6797482371330261,0.9945462942123413
OSAVI_Median,-0.21730801463127136,0.35813838243484497
OSAVI_P25,-0.31825634837150574,0.14776386320590973
OSAVI_P75,-0.08491288125514984,0.5286435484886169
CIGREEN_Mean,-0.008687149733304977,0.6303701996803284
CIGREEN_Std,0.26595938205718994,0.9110921621322632
CIGREEN_Min,-0.8998779058456421,-0.669121503829956
CIGREEN_Max,2.8570001125335693,8.50115966796875
CIGREEN_Median,-0.09315177798271179,0.5307917594909668
CIGREEN_P25,-0.27404505014419556,0.2679080069065094
CIGREEN_P75,0.1407942771911621,0.8880714178085327
CIREDGE_Mean,-0.33267953991889954,0.9237974882125854
CIREDGE_Std,0.18632446229457855,0.5423515439033508
CIREDGE_Min,-0.9021288156509399,-0.6340150833129883
CIREDGE_Max,2.387331247329712,7.8828630447387695
CIREDGE_Median,-0.36502546072006226,0.8917196989059448
CIREDGE_P25,-0.5151437520980835,0.5876340866088867
CIREDGE_P75,-0.23251748085021973,1.2104122638702393
Vegetation_Coverage,0.009749348958333333,0.51331787109375
Healthy_Percentage,0.0,0.0549755859375
Stress_Percentage,0.34616455078125,0.96697998046875
Brightness,11500.4814453125,28434.873046875
Contrast,2881.529541015625,11378.69921875
Blur_Score,78.61439008243812,1847.6268708906114
Canopy_Density,5.0455729166666666e-05,0.17734293619791666
Disease_Hotspot,0.12619384765625,0.9953230794270833
