Image,Blur,Brightness,Contrast,Sharpness,Noise,Quality,Status
blackspot16.jpg,1016.82,125.79,73.39,61.78,8.72,0.936,Excellent
Black spot of papaya leaf_11091985443_o.jpg,654.49,125.25,70.86,77.12,8.57,0.93,Excellent
algal12.png,504.41,129.81,64.2,61.74,6.48,0.925,Excellent
castor_hea2.png,1162.11,123.76,68.12,82.62,9.93,0.914,Excellent
no(1).jpg,649.78,135.42,64.14,61.68,7.41,0.912,Excellent
Guava - Wikipedia.jpg,1193.11,123.37,65.17,70.71,9.14,0.91,Excellent
alternaria leaf spot3.jpg,483.28,136.3,64.51,57.83,6.7,0.908,Excellent
cercospera Leaf spot4.jpg,696.53,102.1,74.54,64.88,7.87,0.907,Excellent
test4.jpg,477.79,126.99,57.81,58.0,6.45,0.904,Excellent
cercospera Leaf spot5.jpg,670.7,101.04,73.92,64.54,7.82,0.904,Excellent
no(1).jpg,431.98,134.1,57.04,64.12,6.15,0.902,Excellent
IMG-20260324-WA0044.jpg,1434.33,116.57,70.11,89.48,11.12,0.902,Excellent
little leaf.jpg,288.68,128.52,58.02,56.5,5.18,0.899,Good
cast_un.jpeg,407.58,121.82,55.22,72.35,6.15,0.898,Good
IMG_8828.jpg,1415.34,127.97,59.7,101.36,10.45,0.897,Good
alternaria leaf (2).jpg,512.05,129.23,52.55,62.1,6.71,0.896,Good
WhatsApp Image 2026-03-31 at 11.17.18 AM (2).jpeg,350.63,128.23,53.63,56.77,5.58,0.895,Good
IMG-20260324-WA0038.jpg,923.03,123.6,60.02,94.33,9.54,0.895,Good
download (6).jpg,519.79,127.44,52.29,67.88,7.25,0.894,Good
IMG-20260324-WA0042.jpg,1239.6,125.45,60.29,99.73,10.79,0.893,Good
IMG_8811.jpg,1100.87,121.96,58.01,91.35,8.76,0.892,Good
IMG_8825.jpg,788.62,115.07,60.56,82.5,8.21,0.89,Good
Nitrogen6.jpg,346.29,117.53,54.96,63.41,6.16,0.89,Good
download (5).jpg,1067.77,124.13,56.69,65.1,9.21,0.89,Good
