Feature,Quality,Missing,Invalid,Outliers,Noise,Status
co2_concentration,0.986,0,0,0,0.071,Excellent
ph,0.97,0,0,57,0.12,Excellent
sunlight_exposure,0.953,0,0,0,0.233,Excellent
temperature,0.951,0,0,86,0.198,Excellent
soil_moisture,0.942,0,0,0,0.288,Good
humidity,0.934,0,0,30,0.311,Good
fertilizer_usage,0.931,0,0,0,0.346,Good
crop_density,0.93,0,0,0,0.348,Good
water_usage_efficiency,0.924,0,0,0,0.381,Good
water_source_type,0.919,0,0,0,0.405,Good
growth_stage,0.918,0,0,0,0.41,Good
soil_type,0.918,0,0,0,0.408,Good
organic_matter,0.905,0,0,0,0.477,Good
irrigation_frequency,0.903,0,0,0,0.483,Good
wind_speed,0.887,0,0,0,0.564,Good
frost_risk,0.886,0,0,0,0.568,Good
pest_pressure,0.884,0,0,0,0.579,Good
urban_area_proximity,0.883,0,0,0,0.586,Good
rainfall,0.882,0,0,100,0.531,Good
P,0.861,0,0,138,0.618,Good
N,0.854,0,0,0,0.73,Good
K,0.777,0,0,200,1.0,Moderate
